verse_no,spoken_by,sanskrit_text,translation_1,translation_2,translation_3,translation_4,translation_5
10.19,Krishna,हनत त कथयषयम दवय हयतमवभतय परधनयत करशरषठ नसतयनत वसतरसय म,the lord said indeed i shall tell you o arjuna my auspicious manifestationsthose that are most prominent among them there is no end to their extent,the blessed lord said o best of the kurus now according to their importance i shall describe to you my own glories which are indeed divine there is no end to my manifestations,the blessed lord said very well now i will declare to you my divine glories in their prominence o arjuna there is no end to their detailed description,the bhagavat said yes o best among the kurus i shall expound to you only the chief auspicious manifesting powers of mine for there would be no end to my details,lord shri krishna replied so be it my beloved friend i will unfold to you some of the chief aspects of my glory there is no end to its full extent
10.20,Krishna,अहमतम गडकश सरवभतशयसथत अहमदशच मधय च भतनमनत एव च,i am the self o arjuna dwelling in the hearts of all beings i am the beginning the middle and the end of all beings,o gudakesa i am the self residing in the hearts of all beings and i am the beginning middle and end of all beings,i am the self o gudakesa seated in the hearts of all beings i am the beginning the middle and the end of all beings,o conqueror of sleep i am the soul residing in the hearts of all beings i am the beginning the middle and the very end of all beings,o arjuna i am the self seated in the hearts of all beings i am the beginning the life and the end of them all
10.21,Krishna,आदतयनमह वषणरजयतष रवरशमन मरचरमरतमसम नकषतरणमह शश,of the adityas i am vishnu of luminous bodies i am the radiant sun of the maruts i am marici and among the constellations i am the moon,among the adityas viz dhata mitra aryama rudra varuna surya bhaga vivasvan pusa savita tvasta and visnutr i am visnu among the luminaries the radiant sun among the fortynine maruts the seven groups of maruts are avaha pravaha vivaha paravaha udvaha samvaha and parivahatr i am marici among the stars i am the moon,among the twelve adityas i am vishnu among luminaries the radiant sun among the seven or fortynine maruts i am marichi among stars i am the moon,of the sons of aditi i am vishnu of the luminaries the radiant sun of the maruts i am marici of the stars i am the moon,of all the creative powers i am the creator of luminaries the sun of winds the whirlwind and of planets the moon
10.22,Krishna,वदन समवदऽसम दवनमसम वसव इनदरयण मनशचसम भतनमसम चतन,of the vedas i am the samaveda of gods i am indra of senseorgans i am the mind and of living beings i am consciousness,among the vedas i am the samaveda among the gods i am indra among the organs i am the mind and i am the intelligence in creatures,among the vedas i am the samaveda among the gods i am vasava among the senses i am the mind and among living beings i am intelligence,of the vedas i am the samaveda of the gods i am vasava indra of the senseorgans i am the mind of the beings i am the consciousness,of the vedas i am the hymns i am the electric force in the powers of nature of the senses i am the mind and i am the intelligence in all that lives
10.23,Krishna,रदरण शङकरशचसम वततश यकषरकषसम वसन पवकशचसम मर शखरणमहम,of the rudras i am sankara of the yaksas and raksasas i am the lord of wealth kubera of the vasus i am agni of the mountains i am meru,among the rudras i am aja ekapada ahirbudhnya pinaki aparajita tryambaka mahesvara vrsakapi sambhu harana and isvara among the yaksas and goblins i am kubera among the vasus i am fire and among the mountains i am meru,and among the rudras i am sankara among the yakshas and rakshasas the lord of wealth kubera among the vasus i am pavaka fire and among the seven mountains i am meru,and of the rudras i am sankara of the yaksas and the raksas i am the lord of wealth kubera of the vasus i am the firegod of the mountains i am meru,among forces of vitality i am the life i am mammon to the heathens and the godless i am the energy in fire earth wind sky heaven sun moon and planets and among mountains i am mount meru
10.24,Krishna,परधस च मखय म वदध परथ बहसपतम सनननमह सकनद सरसमसम सगर,among family priests o arjuna know me to be the chief brhaspati of generals i am skanda of reservoirs of water i am the ocean,o son of prtha know me to be brhaspati the foremost among the priests of kings among commanders of armies i am skanda among large expanses of water i am the sea,and among the household priests of kings o arjuna know me to be the chief brihaspati among the army generals i am skanda among lakes i am the ocean,of the royal priests i am the chief viz brhaspati the priest of gods o son of prtha you should know that of the army generals i am skanda the wargod of the water reservoirs i am the ocean,among the priests know o arjuna that i am the priest brihaspati of generals i am skanda the commanderinchief and of waters i am the ocean
10.25,Krishna,महरषण भगरह गरमसमयकमकषरम यजञन जपयजञऽसम सथवरण हमलय,of the great seers i am bhrgu of words i am the singlelettered word om of sacrifices i am the sacrifice of japa of immovable things i am the himalayas,among the great sages i am bhrgu of words i am the single syllable om among rituals i am the ritual of japa of the immovables the himalayas,among the great sages i am bhrigu among words i am the one syllable om among sacrifices i am the sacrifice of silent repetition among the immovable things i am the himalayas,of the great seers i am bhrgu of the words i am the singlesyllable om of the sacrifices performed with external objects i am the sacrifice of muttered prayer of the immovables i am the himalayan range,of the great seers i am bhrigu of words i am om of offerings i am the silent prayer among things immovable i am the himalayas
10.26,Krishna,अशवतथ सरववकषण दवरषण च नरद गनधरवण चतररथ सदधन कपल मन,of trees i am the asvattha of celestial seers i am narada of the gandharvas i am citraratha of the perfected i am kapila,among all trees i am the ashvattha tree and among divine sages narada among the gandharvas i am citraratha among the perfected ones i am the sage kapila,among all the trees i am the peepul among the divine sages i am narada among the gandharvas i am chitraratha among the perfected i am the sage kapila,of all trees i am the pipal tree of the divine seers narada of the gandharvas citraratha and of the perfected ones the sage kapila,of trees i am the sacred fig tree of divine seers narada of heavenly singers i am chitraratha their leader and of sages i am kapila
10.27,Krishna,उचचशरवसमशवन वदध मममतदभवम ऐरवत गजनदरण नरण च नरधपम,of horses know me to be uccaihsravas the nectarborn of lordly elephants i am airavata and of men i am the monarch,among horses know me to be uccaihsravas born from nectar airavata among the lordly elephants and among men the king of men uccaihsravas and airavata are respectively the divine horse and elephant of indra,know me as ucchaisravas born of nectar among horses airavata among lordly elephants and the king among men,of the horses you should know me to be the nectarborn uccaihsravas indras horse of the best elephants the airavata indras elephant and of the men their king,know that among horses i am pegasus heavenborn among the lordly elephants i am the white one and i am the ruler among men
10.28,Krishna,आयधनमह वजर धननमसम कमधक परजनशचसम कनदरप सरपणमसम वसक,of weapons i am the vajra thunderbolt of cows i am kamadhuk i am kandarpa the cause of progeny of serpents i am vasuki,among weapons i am the thunderbolt among cows i am kamadhenu i am kandarpa the progenitor and among serpents i am vasuki,among weapons i am the thunderbolt among cows i am the wishfulfilling cow called kamadhenu i am the progenitor the god of love among serpents i am vasuki,of the weapons i am the vajra of indra of the cows i am the wishfulfilling cow of the heavens of the progenitors i am kandarpa the god of love of the serpents i am vasuki,i am the thunderbolt among weapons i am the cow of plenty among cows i am passion in those who procreate and i am the cobra among serpents
10.29,Krishna,अननतशचसम नगन वरण यदसमहम पतणमरयम चसम यम सयमतमहम,of snakes i am ananta of aquatic beings i am varuna of manes i am aryama of subduers i am yama,among snakes i am ananta among gods of the waters varuna among the manes aryama and among the maintainers of law and order i am yama king of death,i am ananta among the nagas i am varuna among waterdeities aryaman among the manes i am yama among the governors,of the snakes i am ananta of the waterbeings i am varuna of the manes i am aryaman of the controllers i am yama the deathgod,i am the kingpython among snakes i am the aqueous principle among those that live in water i am the father of fathers and among rulers i am death
10.30,Krishna,परहलदशचसम दतयन कल कलयतमहम मगण च मगनदरऽह वनतयशच पकषणम,of daityas i am prahlada of reckoners i am death of beasts i am the lion and of birds i am garuda the son of vinata,among demons i am prahlada and among reckoners of time i am time among animals i am the lion and among birds i am garuda,and i am prahlada among the demons i am time among reckoners i am the lion among beasts and vainateya garuda among birds,no translation is available for this sloka,and i am the devotee prahlada among the heathens of time i am the eternal present i am the lion among beasts and the eagle among birds
10.31,Krishna,पवन पवतमसम रम शसतरभतमहम झषण मकरशचसम सरतसमसम जहनव,of moving things i am the wind of those who bear weapons i am rama of fishers i am makara and of rivers i am the ganga,of the purifiers i am the air among the wielders of weapons i am rama among fishes i am the shark among rivers i am ganga,among the purifiers i am the wind among the warriors i am rama among the fishes i am the shark among the streams i am the ganga,of the progeny of diti i am prahlada of the measuring ones i am the shark of rivers i am the daughter of jahnuthe ganga,i am the wind among purifiers the king rama among warriors i am the crocodile among fishes and i am the ganges among rivers
10.32,Krishna,सरगणमदरनतशच मधय चवहमरजन अधयतमवदय वदयन वद परवदतमहम,of creatures i am the beginning the middle and the end o arjuna of sciences i am the science of the self of the individual and universal self of those who argue i am the fair reasoning,o arjuna of creations i am the beginning the middle and the end i am the knowledge of the self among knowledge of those who debate i am vada,among creations i am the beginning the middle and the end o arjuna among the sciences i am the science of the self and i am the logic among controversialists,of the creations i am the beginning the end and the middle o arjuna of the sciences i am the science of the self of arguers i am the argument,i am the beginning the middle and the end of creation among sciences i am the science of spirituality i am the discussion among disputants
10.33,Krishna,अकषरणमकरऽसम दवनदव समसकसय च अहमवकषय कल धतऽह वशवतमख,of letters i am the alphabet a of compound words i am the dvandva copulative i am myself imperishable time i am the creator facing all sides,of the letters i am the letter a and of the group of compound words i am the compound called dvandva i am myself the infinite time i am the dispenser with faces everywhere,among the letters of the alphabet i am the letter a and the dual among compounds i am verily the inexhaustible and everlasting time i am the dispenser of the fruits of actions having faces in all directions,of the syllables i am a of the compounds the dvandva none but me is immortal time i am the dispenser of fruits of actions facing on all sides,of letters i am a i am the copulative in compound words i am inexhaustible time and i am the allpervading preserver
10.34,Krishna,मतय सरवहरशचहमदभवशच भवषयतम करत शररवकच नरण समतरमध धत कषम,i am also death which snatches away all i am the origin of all that will be born among women i am fame prosperity speech memory intelligence endurance and forgiveness,and i am death the destroyer of all and the bestower of prosperity to those destined to be prosperous of the feminine narinam may mean of the feminine qualities according to sridhara swami and s the words fame etc signify the goddesses of the respective qualities according to ms these seven goddesses are the wives of the god dharmatr i am fame beauty speech memory intelligence fortitude and forbearance,and i am the alldevouring death and the source of prosperity for those who are to be prosperous among the feminine qualities i am fame prosperity speech memory intelligence firmness and forgiveness,i am the death that carries away all and also the birth of all that are to be born of the wives of men i am fame fortune speech memory wisdom constancy and patience,i am alldevouring death i am the origin of all that will happen i am fame fortune speech memory intellect constancy and forgiveness
10.35,Krishna,बहतसम तथ समन गयतर छनदसमहम मसन मरगशरषऽहमतन कसमकर,of saman hymns i am the brhatsaman of meters i am the gayatri of months i am margasira novdec and of seasons i am the season of flowers,i am also the brhatsama of the samamantras of the meters gayatri of the months i am margasirsa and of the seasons spring,among the hymns i am the brihatsaman among meters i am gayatri among months i am margasirsha among seasons i am the flowery season,likewise of the modes of singing i am the brhatsaman of the metres i am the gayatri of the months i am margasirsa of the seasons i am the season abounding with flowers,of hymns i am brihatsama of meters i am garatri among months i am margasheersha december and i am spring among seasons
10.36,Krishna,दयत छलयतमसम तजसतजसवनमहम जयऽसम वयवसयऽसम सततव सततववतमहम,of the fraudulent i am gambling i am the brilliance of the brilliant i am victory i am effort i am the magnanimity of the magnanimous,of the fraudulent i am the gambling i am the irresistible end of the mighty i am excellence i am effort i am the sattva quality of those possessed of sattva,i am the gambling of the deceitful i am the splendor of the splendid i am victory i am the resolve of the resolute i am the goodness of the good,i am the destroyer of the fraudulent i am the brilliance of the brilliant i am the victory i am the determination i am the strength of the strong,i am the gamblers cheat and the splendor of the splendid i am victory i am effort and i am the purity of the pure
10.37,Krishna,वषणन वसदवऽसम पणडवन धनजय मननमपयह वयस कवनमशन कव,of the vrsnis i am vasudeva of the pandavas i am arjuna of sages i am vyasa and of seers i am usana sukra,of the vrsnis i am vasudeva of the pandavas dhananjaya arjuna of the wise i am vyasa of the omniscient the omniscient usanas,among the vrishnis i am vaasudeva among the pandavas i am arjuna among the sages i am vyasa among the poets i am usanas the poet,of the vrsnis i am the son of vasudeva of the sons of pandu i am dhananjaya arjuna of the sages i am vyasa and of the seers i am usanas,i am shri krishna among the vishnuclan arjuna among the pandavas vyasa among the saints and shukracharya among the sages
10.38,Krishna,दणड दमयतमसम नतरसम जगषतम मन चवसम गहयन जञन जञनवतमहम,of those who punish i am the principle of punishment of those who seek victory i am policy of secrets i am also silence and of the wise i am wisdom,of the punishers i am the rod i am the righteous policy of those who desire to conquer and of things secret i am verily silence i am the knowledge of the wise,of those who punish i am the scepter among those who seek victory i am statesmanship and among secrets i am silence i am knowledge among knowers,i am the punishment of the punishers i am the political wisdom of those seeking victory i am also the silence of the secret ones i am the knowledge of the knowers,i am the scepter of rulers the strategy of conquerors the silence of mystery and the wisdom of the wise
10.39,Krishna,यचचप सरवभतन बज तदहमरजन न तदसत वन यतसयनमय भत चरचरम,i am also that which is the seed of all beings o arjuna nothing that moves or does not move exists without me,moreover o arjuna i am the seed of all beings there is nothing moving or nonmoving that can exist without me,and whatever is the seed of all beings that too am i o arjuna there is no being be it moving or unmoving that can exist without me,further o arjuna i am the seed of all beings there is no being whether moving or nonmoving that can exist without me,i am the seed of all beings o arjuna no creature moving or unmoving can live without me
10.40,Krishna,ननतऽसत मम दवयन वभतन परतप एष तददशत परकत वभतरवसतर मय,there is no limit to my divine manifestations here i have briefly described the extent of such manifestations,o destroyer of enemies there is no limit to my divine manifestations this description of my manifestations however has been stated by me as an illustration,there is no end to my divine glories o arjuna but this is a brief statement by me of the particulars of my divine glory,o scorcher of foes there is no end to my extraordinary manifesting power the above details of my manifesting power have been declared by me only as examples,o arjuna the aspects of my divine life are endless i have mentioned only a few as an example
10.41,Krishna,यदयदवभतमतसततव शरमदरजतमव व तततदववगचछ तव मम तजऽशसभवम,whatever being is possessed of power or splendour or energy know that as coming from a fragment of my power,whatever object all living beings is verily endowed with majesty possessed of prosperity or is energetic you know for certain each of them as having a part of my power as its source,whatever being there is glorious prosperous or powerful know that to be a manifestation of a part of my splendor,whatever being exists with manifesting power beauty and vigor be sure that it is born only from a bit of my illumination,whatever is glorious excellent beautiful and mighty be assured that it comes from a fragment of my splendor
10.42,Krishna,अथव बहनतन क जञतन तवरजन वषटभयहमद कतसनमकशन सथत जगत,but of what use is all this extensive knowledge to you o arjuna i sustain this whole universe with only a fragment of my power,or on the other hand what is the need for you to know this extensively o arjuna i remain sustaining this whole creation in a special way with a part of myself,but of what avail is the knowledge of all these details to you o arjuna i exist supporting this whole world with one part of myself,or o arjuna why this detailed explanation i remain pervading this entire universe with a single fraction of myself,but what is the use of all these details to you o arjuna i sustain this universe with only a small part of myself
11.1,Arjun,मदनगरहय परम गहयमधयतमसजञतम यततवयकत वचसतन महऽय वगत मम,arjuna said to show favor to me you have told me that most profound mystery concerning the self by that this delusion of mine has been dispelled,arjuna said this delusion of mine has departed as a result of that speech which is most secret and pertains to the self uttered by you for my benefit,arjuna said by this explanation of the highest secret concerning the self which thou hast spoken for the sake of blessing me my delusion has been dispelled,arjuna said my delusion has completely gone thanks to the great and mysterious discourse which is termed as a science governing the soul and which you have delivered to me as a favor,arjuna said my lord your words concerning the supreme secret of self given for my blessing have dispelled the illusions that surrounded me
11.2,Arjun,भवपयय ह भतन शरत वसतरश मय तवतत कमलपतरकष महतमयमप चवययम,o krsna i have heard in detail about the origin and dissolution of all beings which come from you as well as your immutable greatness,o you with eyes like lotus leaves i have heard in detail from you the origin and dissolution of beings as well as your undecaying glory,the origin and destruction of beings have been heard in detail from you o lotuseyed lord and also your inexhaustible greatness,i have listened in detail from you o lotuseyed one about the origin and dissolution of beings as well as your inexhaustible greatness,o lord whose eyes are like the lotus petal you have described in detail the origin and dissolution of beings and your own eternal majesty
11.3,Arjun,एवमतदयथतथ तवमतमन परमशवर दरषटमचछम त रपमशवर परषततम,o supreme lord as you have described yourself so you are i wish to behold your divine form o supreme person,o supreme lord so it is as you have spoken of yourself o supreme person i wish to behold your divine form,now o supreme lord as thou hast thus described thyself o supreme person i wish to behold thy divine form,as you describe yourself to be the supreme lord it must be so o supreme self i desire to behold your divine form,i believe all as you have declared it i now long to have a vision of your divine form o most high
11.4,Arjun,मनयस यद तचछकय मय दरषटमत परभ यगशवर तत म तव दरशयऽतमनमवययम,if you think o lord that it can be seen by me then o lord of yoga reveal yourself fully to me,o lord if you deem it possible for me to behold you then o lord of yoga show me your eternal self,if thou o lord thinkest it possible for me to see it do thou then o lord of the yogis show me thy imperishable self,o master if you think it is possible for me to behold that form then o lord of the yogis please show me your immortal self,if you think it is possible for me to see it show me o lord of lords your eternal self
11.5,Krishna,पशय म परथ रपण शतशऽथ सहसरश ननवधन दवयन ननवरणकतन च,the lord said behold o arjuna my forms hundreds upon thousands manifold divine varied in hue and shape,the blessed lord said o son of prtha behold my forms in their hundreds and thousands of different kinds celestial and of various colors and shapes,the blessed lord said behold o arjuna forms of mine by the hundreds and thousands of different sorts divine and of various colors and shapes,the bhagavat said behold o son of prtha my divine forms in hundreds and thousands of varied nature colors and shapes,lord shri krishna replied behold o arjuna my celestial forms by the hundreds and thousands various in kind color and shape
11.6,Krishna,पशयदतयनवसनरदरनशवन मरतसतथ बहनयदषटपरवण पशयऽशचरयण भरत,behold o arjuna the adityas the vasus the rudras the two asvins and the marutsmany marvels never seen before,behold the adityas the vasus the rudras the two ashvins and the maruts o scion of the bharata dynasty also behold the many wonders that have never been seen before,behold the adityas the vasus the rudras the two asvins and the maruts behold many wonders never before seen o arjuna,behold the adityas the vasus the rudras the twin ashvins and the maruts o son of pandu behold also many wonders that had never been seen before,behold thou seest the powers of nature fire earth wind and sky the sun the heavens the moon the stars all forces of vitality and healing and the roving winds behold thou seest the myriad wonders revealed to none but thee
11.7,Krishna,इहकसथ जगतकतसन पशयदय सचरचरम मम दह गडकश यचचनयददरषटमचछस,behold here o arjuna the entire universe with its mobile and immobile things all centered in my body and whatever else you desire to see,see now o gudakesa the entire universe together with the moving and the nonmoving concentrated in the same place here in my body as also whatever else you would like to see,now behold o arjuna in this my body the entire universe centered in one including the moving and the unmoving and whatever else you desire to see,now behold the entire universe including the moving and the unmoving and whatsoever else you desire to seeall established in me o gudakesa arjuna,here living in me o arjuna behold the entire universe both movable and immovable and anything else you would like to see
11.8,Krishna,न त म शकयस दरषटमननव सवचकषष दवय ददम त चकष पशय म यगमशवरम,but you will not be able to see me with your own eyes i give you a divine eye so behold my lordly yoga,but you are not able to see me with just this eye of yours i grant you the divine eye behold my divine yoga,but you are not able to behold me with these your own eyes i give you the divine eye behold my lordly yoga,but you cannot see me with just this eye of yours therefore i give you the divine eye now behold my divine form,yet since you cannot see me with mortal eyes behold i give you divine sight now see the glory of my sovereignty
11.9,Sanjay,एवमकतव तत रजनमहयगशवर हर दरशयमस परथय परम रपमशवरम,sanjaya said o king having spoken sri krishna the great lord of yoga then revealed to arjuna the supreme lordly form,sanjaya said o king having spoken thus thereafter hari the great master of yoga showed to the son of prtha the supreme divine form,sanjaya said having thus spoken o king the great lord of yoga hari krishna showed arjuna his supreme form as the lord,sanjaya said o king having thus stated hari the mighty lord of the yogins showed to the son of prtha his own supreme lordly form,sanjaya continued having thus spoken o king the lord shri krishna the almighty prince of wisdom showed arjuna the supreme form of the great god
11.10,Sanjay,अनकवकतरनयनमनकदभतदरशनम अनकदवयभरण दवयनकदयतयधम,with innumerable mouths and eyes many marvelous aspects numerous divine ornaments and numerous divine weapons,having many faces and eyes possessing many wondrous sights adorned with numerous celestial ornaments and holding many uplifted heavenly weapons,with numerous mouths and eyes with numerous wondrous sights with numerous divine adornments with numerous divine weapons uplifted such a form he showed,it has many mouths and eyes wondrous sights heavenly ornaments and weapons held ready,there were countless eyes mouths and innumerable mystic forms with shining ornaments and flaming celestial weapons
11.11,Sanjay,दवयमलयमबरधर दवयगनधनलपनम सरवशचरयमय दवमननत वशवतमखम,wearing celestial garlands and raiments anointed with divine perfumes full of wonders resplendent boundless and facing all directions,wearing heavenly garlands and apparel anointed with heavenly scents abounding in all kinds of wonders resplendent infinite and with faces on all sides,wearing divine garlands and apparel anointed with divine unguents the allwonderful resplendent being is endless with faces on all sides,it wears heavenly garlands and garments is anointed with heavenly sandal paste is wondrous radiant and infinite and has faces in all directions,crowned with heavenly garlands clothed in shining garments anointed with divine unguents he showed himself as the resplendent one marvelous boundless and omnipresent
11.12,Sanjay,दव सरयसहसरसय भवदयगपदतथत यद भ सदश स सयदभससतसय महतमन,if a thousand suns were to rise at once in the sky the resulting splendour would be like the splendour of that mighty one,should the effulgence of a thousand suns blaze forth simultaneously in the sky that might be akin to the radiance of that exalted one,if the splendour of a thousand suns were to blaze out simultaneously in the sky that would be the splendour of that mighty being,if the splendour of a thousand suns were to burst forth at once in the sky would that be equal to the splendour of that mighty self,could a thousand suns blaze forth together it would be but a faint reflection of the radiance of the lord god
11.13,Sanjay,ततरकसथ जगतकतसन परवभकतमनकध अपशयददवदवसय शरर पणडवसतद,there arjuna beheld the whole universe with its manifold divisions gathered together in one single spot within the body of the god of gods,at that time the pandava saw in the body of the god of gods the whole diversely differentiated universe united in one,there in the body of the god of gods arjuna then saw the entire universe resting in one with its myriad of divisions,at that time the son of pandu beheld in the body of the godofgods the entire universe united yet divided into many groups,in that vision arjuna saw the universe with its manifold shapes all embraced in one its supreme lord
11.14,Sanjay,तत स वसमयवषट हषटरम धनञजय परणमय शरस दव कतञजलरभषत,then arjuna overcome with amazement his hairs standing on end bowed his head to the lord and spoke with folded hands,then filled with wonder and with hairs standing on end arjuna bowing down with his head to the lord said with folded hands,then arjuna filled with wonder and his hair standing on end bowed his head to the god and spoke with palms joined,then possessed by amazement and with his body hair standing on end dhananjaya with his head bowed to the god and with folded hands spoke to him,then arjuna filled with awe his hair standing on end bowing his head and clasping his hands in reverence spoke to the lord
11.15,Arjun,पशयम दवसतव दव दह सरवसतथ भतवशषसङघन बरहमणमश कमलसनसथ मषशच सरवनरगशच दवयन,arjuna said o lord i behold in your body all the gods and all the diverse hosts of beingsbrahma siva who is in brahma the seers and the lustrous snakes,arjuna said o god i see in your body all the gods as well as hosts of various classes of beings brahma the ruler sitting on a lotus seat and all the heavenly sages and serpents,arjuna said o god i see all the gods in your body as well as hosts of various classes of beings brahma the lord seated on the lotus all the sages and the celestial serpents,arjuna said o god in your body i behold all gods and hosts of different kinds of beingsthe lord brahma seated on the lotusseat and all the sages and glowing serpents,arjuna said o almighty god i see in you the powers of nature the various creatures of the world the progenitor on his lotus throne the sages and the shining angels
11.16,Arjun,अनकबहदरवकतरनतर पशयम तव सरवतऽननतरपम ननत न मधय न पनसतवद पशयम वशवशवर वशवरप,with manifold arms stomachs mouths and eyes i behold your infinite form on all sides i see no end no middle nor the beginning of you o lord of the universe o you of universal form,i see you with numerous arms bellies mouths and eyes with infinite forms all around o lord of the universe o cosmic person i see no limit no middle nor beginning,i see you with boundless form on every side with many arms stomachs mouths and eyes neither the end nor the middle nor the beginning do i see o lord of the universe o cosmic form,i behold you with many arms bellies mouths and eyes and with infinite forms on all sides i find neither the end nor the center nor the beginning of you o lord of the universe o universalformed one,i see you infinite in form with faces eyes and limbs everywhere with no beginning middle or end o you lord of the universe whose form is universal
11.17,Arjun,करटन गदन चकरण च तजरश सरवतदपतमनतम पशयम तव दरनरकषय समनत ददपतनलरकदयतमपरमयम,i behold you as a mass of light shining everywhere with a diadem mace and discus hard to behold blazing like a burning fire and the sun and immeasurable,i see you wearing a diadem wielding a mace and holding a disc a mass of brilliance glowing all around difficult to look at from all sides possessing the radiance of the blazing fire and sun and immeasurable,i see you with the diadem club and discus a mass of radiance shining everywhere very hard to look at blazing all around like a burning fire and the sun and immeasurable,i behold you as having crowns clubs and discs as a mass of radiance shining on all sides hard to look at and blazing like burning fire and the sun on each side and as an immeasurable one,i see you with the crown the scepter and the discus a blaze of splendor scarcely can i gaze upon you so radiant you are glowing like a blazing fire brilliant as the sun immeasurable
11.18,Arjun,तवमकषर परम वदतवय तवमसय वशवसय पर नधनम तवमवयय शशवतधरमगपत सनतनसतव परष मत म,you are the imperishable supreme one to be realized you are the supreme substratum of this universe you are immutable the guardian of the eternal law i know you are the supreme person who is everlasting,you are the unchanging the supreme one to be known you are the most perfect repository of this universe you are the imperishable the protector of the everexisting religion you are the eternal person this is my belief,you are the imperishable the supreme being worthy of being known you are the great treasurehouse of this universe you are the imperishable protector of the eternal dharma you are the primal person i believe,you are the imperishable the supreme being to be known you are the ultimate place of rest for this universe you are changeless and the guardian of the pious acts of the satvatas you are the everlasting soul i believe,you are imperishable the only one worthy of being known the priceless treasurehouse of the universe the immortal guardian of eternal life and the everlasting spirit
11.19,Arjun,अनदमधयनतमननतवरय मननतबह शशसरयनतरम पशयम तव दपतहतशवकतरम सवतजस वशवमद तपनतम,i behold you as having no beginning middle or end your might is infinite you are endowed with an innumerable number of arms the sun and moon are your eyes and your mouth emits burning fire with your own radiance you are warning the entire universe,i see you as having no beginning middle or end possessing infinite valor with innumerable arms the sun and moon as eyes a mouth like a blazing fire and heating up this universe with your own brilliance,i see you without beginning middle or end infinite in power with endless arms the sun and moon as your eyes the burning fire your mouth heating the entire universe with your radiance,i observe you with no beginning no middle and no end having infinite creative power and infinite arms with the moon and the sun as your eyes and the blazing fire as your mouth and scorching this universe with your radiance,without beginning without middle and without end infinite in power with arms allembracing the sun and moon as your eyes your face beaming with the fire of sacrifice flooding the whole universe with light
11.20,Arjun,दयवपथवयरदमनतर ह वयपत तवयकन दशशच सरव दषटवऽदभत रपमगर तवद लकतरय परवयथत महतमन,you alone have pervaded the interspace between heaven and earth and all the quarters beholding your marvelous and terrible form o mahatman the three worlds are greatly overwhelmed with fear,indeed this intermediate space between heaven and earth as well as all the directions are pervaded by you alone o exalted one the three worlds are struck with fear upon seeing this strange and fearful form of yours,this space between the earth and the heavens and all the quarters is filled by you alone having seen this your wonderful and terrible form the three worlds are trembling with fear o greatsouled being,this space between heaven and earth as well as all the directions is pervaded singly by you seeing this wondrous form of yours o exalted soul the triple world is greatly frightened,alone you fill all the quarters of the sky earth and heaven and the regions between o almighty lord seeing your marvelous and aweinspiring form the spheres tremble with fear
11.21,Arjun,अम ह तव सरसङघ वशनत कचदभत परञजलय गणनत सवसततयकतव महरषसदधसङघ सतवनत तव सततभ पषकलभ,verily the hosts of devas enter into you some in fear extol you with clasped hands crying hail the bands of great seers and siddhas praise you with meaningful hymns,those very groups of gods enter into you struck with fear some extol you with joined palms groups of great sages and perfected beings praise you with elaborate hymns saying may it be well,verily these hosts of gods enter into thee some extol thee with joined palms in fear saying may it be well bands of great sages and perfected ones praise thee with complete hymns,these hosts of gods enter into you some frightened recite hymns with folded palms simply crying hail the hosts of great seers praise you with excellent praising hymns,the troops of celestial beings enter into you some invoking you in fear with folded palms the great seers and adepts sing hymns to your glory saying all hail
11.22,Arjun,रदरदतय वसव य च सधय वशवऽशवन मरतशचषमपशच गनधरवयकषसरसदधसङघ वकषनत तव वसमतशचव सरव,the rudras the adityas the vasus the sadhyas the visvas the asvins the maruts and the manes as well as the hosts of gandharvas yaksas asuras and siddhasall gaze upon you in amazement,those who are the rudras the adityas the vasus and the sadhyas the visvedevas the two asvins the maruts and the usmapas and hosts of gandharvas yaksas demons and siddhasall of those very ones gaze at you being indeed struck with wonder,the rudras adityas vasus sadhyas visvedevas the two asvins maruts the manus and the hosts of celestial singers yakshas demons and the perfected ones all look upon thee with great amazement,the rudras the adityas the vasus the sadhyas the visvadevas the twin asvins and the maruts the manes the hosts of the gandharvas the yaksas the demons and the perfected onesall gaze upon you in amazement,the vital forces major stars fire earth air sky sun heaven moon and planets the angels guardians of the universe divine healers winds fathers heavenly singers and hosts of mammonworshippers demons and saints are all amazed
11.23,Arjun,रप महतत बहवकतरनतर महबह बहबहरपदम बहदर बहदषटरकरल दषटव लक परवयथतसतथऽहम,beholding your great form with many mouths and eyes many arms thighs and feet many stomachs and terrible with many teeth the worlds tremble and i too quake o mightyarmed one,o mightyarmed one seeing your immense form with many mouths eyes arms thighs feet bellies and teeth the creatures are struck with terror and so am i,having seen your immeasurable form with many mouths and eyes o mightyarmed one with many arms thighs and feet with many stomachs and fearsome with many teeth the worlds are terrified and so am i,o mightyarmed one having seen your mighty form with its many faces and eyes many arms thighs feet and bellies and its terrible array of tusks the worlds are frightened as am i,seeing thy stupendous form o most mighty one with its myriad faces its innumerable eyes limbs and terrible jaws i myself and all the worlds are overwhelmed with awe
